time,temp,rdhx
0,29,4
73,29,4
147,29,4
218,29,4
291,29,4
363,29,4
436,29,10
509,28.5,10
581,28.5,10
654,29,9.5
732,28.5,10
803,23,10
876,24.5,10
949,23,10
1024,23,10
1097,23,10
1170,23,10
1242,23,10
1242,23,10
1315,23,10
1390,24.5,10
1463,24.5,10
1536,26.5,10
1609,26.5,9.5
1681,28.5,10
1754,28.5,10
1827,28.5,10
1902,29,10
1975,29,9
2051,29,8.5
2123,29,8.5
2196,29,8.5
2269,29,7.5
2342,29,7.5
2415,28.5,4
2488,29,8
2560,29,7.5
2634,29,9
2705,29,8.5
2778,29,7.5
2854,29,4.5
2928,29,4.5
3000,29,4.5
