time,temp,rdhx
0,29,4
73,29,4
145,29,4
218,29,4
292,29,4
366,29,4.5
439,29,4.5
512,29,4.5
584,29,8
658,25,7
730,25,7
803,25,7
878,21,10
952,21,10
1026,21,10
1099,25.5,7
1171,27,7
1245,28.5,7
1318,29,7
1391,29,6
1464,29,6
1536,29,6
1609,29,6
1682,29,4.5
1754,29,4.5
1830,27,10
1903,23,10
1976,21,10
2048,21,10
2121,21,10
2194,19.5,7
2194,19.5,6.5
2266,25.5,7
2342,27.5,7
2415,28.5,7
2490,29,7.5
2564,29,7.5
2635,29,7.5
2708,29,7.5
2781,29,7.5
2854,29,7
2926,27,10
2999,26.5,9.5
