time,temp,rdhx
0,29,6
74,29,8
149,29,8.5
222,29,8.5
296,29,8.5
369,29,8.5
443,29,7
516,29,10
589,27.5,9
662,27,10
735,24.5,9.5
807,24.5,10
880,24.5,10
880,23.5,10
956,22.5,8.5
1029,22.5,9.5
1103,25.5,4
1176,25.5,4
1249,25.5,4
1321,27,10
1394,29,10
1467,29,10
1539,29,10
1612,29,10
1685,27,10
1759,27,10
1832,29,10
1905,29,10
1980,29,10
2054,29,10
2129,29,10
2202,29,8.5
2202,29,7
2275,29,7
2348,29,7
2423,29,7
2496,29,7
2569,29,7
2642,29,7
2715,29,7
2787,29,7
2860,29,7
2936,29,7
